时间,实际功率(MW)
2020-01-03 02:30:00,178.85 
2020-01-03 02:45:00,171.50 
2020-01-03 03:00:00,165.98 
2020-01-03 03:15:00,165.20 
2020-01-03 03:30:00,169.60 
2020-01-03 03:45:00,165.65 
2020-01-03 04:00:00,155.60 
2020-01-03 04:15:00,140.16 
2020-01-03 04:30:00,135.69 
2020-01-03 04:45:00,134.51 
2020-01-03 05:00:00,129.37 
2020-01-03 05:15:00,120.17 
2020-01-03 05:30:00,118.16 
2020-01-03 05:45:00,123.33 
2020-01-03 06:00:00,119.54 
2020-01-03 06:15:00,112.62 
2020-01-03 06:30:00,107.92 
2020-01-03 06:45:00,105.06 
2020-01-03 07:00:00,102.49 
2020-01-03 07:15:00,102.60 
2020-01-03 07:30:00,91.53 
2020-01-03 07:45:00,89.67 
2020-01-03 08:00:00,92.91 
2020-01-03 08:15:00,97.28 
2020-01-03 08:30:00,97.48 
2020-01-03 08:45:00,90.47 
2020-01-03 09:00:00,86.52 
2020-01-03 09:15:00,86.34 
2020-01-03 09:30:00,81.68 
2020-01-03 09:45:00,75.34 
2020-01-03 10:00:00,75.16 
2020-01-03 10:15:00,75.06 
2020-01-03 10:30:00,77.29 
2020-01-03 10:45:00,79.92 
2020-01-03 11:00:00,80.00 
2020-01-03 11:15:00,77.76 
2020-01-03 11:30:00,79.81 
2020-01-03 11:45:00,83.44 
2020-01-03 12:00:00,97.21 
2020-01-03 12:15:00,113.94 
2020-01-03 12:30:00,123.92 
2020-01-03 12:45:00,139.32 
2020-01-03 13:00:00,158.50 
2020-01-03 13:15:00,173.47 
2020-01-03 13:30:00,178.12 
2020-01-03 13:45:00,174.81 
2020-01-03 14:00:00,178.25 
2020-01-03 14:15:00,180.68 
2020-01-03 14:30:00,184.97 
2020-01-03 14:45:00,184.89 
2020-01-03 15:00:00,181.22 
2020-01-03 15:15:00,179.88 
2020-01-03 15:30:00,181.84 
2020-01-03 15:45:00,175.72 
2020-01-03 16:00:00,176.38 
2020-01-03 16:15:00,174.93 
2020-01-03 16:30:00,177.36 
2020-01-03 16:45:00,178.06 
2020-01-03 17:00:00,169.48 
2020-01-03 17:15:00,157.79 
2020-01-03 17:30:00,147.31 
2020-01-03 17:45:00,139.30 
2020-01-03 18:00:00,120.03 
2020-01-03 18:15:00,89.42 
2020-01-03 18:30:00,68.92 
2020-01-03 18:45:00,54.80 
2020-01-03 19:00:00,39.69 
2020-01-03 19:15:00,26.67 
2020-01-03 19:30:00,19.48 
2020-01-03 19:45:00,4.37 
2020-01-03 20:00:00,1.22 
2020-01-03 20:15:00,0.56 
2020-01-03 20:30:00,0.05 
2020-01-03 20:45:00,0.16 
2020-01-03 21:00:00,0.00 
2020-01-03 21:15:00,0.00 
2020-01-03 21:30:00,0.00 
2020-01-03 21:45:00,0.00 
2020-01-03 22:00:00,0.00 
2020-01-03 22:15:00,0.32 
2020-01-03 22:30:00,1.18 
2020-01-03 22:45:00,2.96 
2020-01-03 23:00:00,2.39 
2020-01-03 23:15:00,1.18 
2020-01-03 23:30:00,1.09 
2020-01-03 23:45:00,0.67 
2020-01-04 00:00:00,1.00 
2020-01-04 00:15:00,2.20 
2020-01-04 00:30:00,2.28 
2020-01-04 00:45:00,0.66 
2020-01-04 01:00:00,0.15 
2020-01-04 01:15:00,0.04 
2020-01-04 01:30:00,0.35 
2020-01-04 01:45:00,0.31 
2020-01-04 02:00:00,0.68 
2020-01-04 02:15:00,2.68 
2020-01-04 02:30:00,3.81 
2020-01-04 02:45:00,3.06 
2020-01-04 03:00:00,1.84 
2020-01-04 03:15:00,0.42 
2020-01-04 03:30:00,0.15 
2020-01-04 03:45:00,0.01 
2020-01-04 04:00:00,0.00 
2020-01-04 04:15:00,0.00 
2020-01-04 04:30:00,0.00 
2020-01-04 04:45:00,0.00 
2020-01-04 05:00:00,0.00 
2020-01-04 05:15:00,0.00 
2020-01-04 05:30:00,0.00 
2020-01-04 05:45:00,0.00 
2020-01-04 06:00:00,0.00 
2020-01-04 06:15:00,0.00 
2020-01-04 06:30:00,0.00 
2020-01-04 06:45:00,0.00 
2020-01-04 07:00:00,0.00 
2020-01-04 07:15:00,0.00 
2020-01-04 07:30:00,0.00 
2020-01-04 07:45:00,0.00 
2020-01-04 08:00:00,0.00 
2020-01-04 08:15:00,0.00 
2020-01-04 08:30:00,0.00 
2020-01-04 08:45:00,0.00 
2020-01-04 09:00:00,0.00 
2020-01-04 09:15:00,0.00 
2020-01-04 09:30:00,0.00 
2020-01-04 09:45:00,0.00 
2020-01-04 10:00:00,0.00 
2020-01-04 10:15:00,0.00 
2020-01-04 10:30:00,0.00 
2020-01-04 10:45:00,0.00 
2020-01-04 11:00:00,0.00 
2020-01-04 11:15:00,0.00 
2020-01-04 11:30:00,0.00 
2020-01-04 11:45:00,0.00 
2020-01-04 12:00:00,0.00 
2020-01-04 12:15:00,0.00 
2020-01-04 12:30:00,0.00 
2020-01-04 12:45:00,0.00 
2020-01-04 13:00:00,0.00 
2020-01-04 13:15:00,0.00 
2020-01-04 13:30:00,0.00 
2020-01-04 13:45:00,0.00 
2020-01-04 14:00:00,0.00 
2020-01-04 14:15:00,0.00 
2020-01-04 14:30:00,0.00 
2020-01-04 14:45:00,0.00 
2020-01-04 15:00:00,0.00 
2020-01-04 15:15:00,0.00 
2020-01-04 15:30:00,0.00 
2020-01-04 15:45:00,0.00 
2020-01-04 16:00:00,0.17 
2020-01-04 16:15:00,1.54 
2020-01-04 16:30:00,4.36 
2020-01-04 16:45:00,5.83 
2020-01-04 17:00:00,7.99 
2020-01-04 17:15:00,5.85 
2020-01-04 17:30:00,3.73 
2020-01-04 17:45:00,3.98 
2020-01-04 18:00:00,3.01 
2020-01-04 18:15:00,2.47 
2020-01-04 18:30:00,1.90 
2020-01-04 18:45:00,0.84 
2020-01-04 19:00:00,0.03 
2020-01-04 19:15:00,0.00 
2020-01-04 19:30:00,0.00 
2020-01-04 19:45:00,0.00 
2020-01-04 20:00:00,0.00 
2020-01-04 20:15:00,0.00 
2020-01-04 20:30:00,0.00 
2020-01-04 20:45:00,0.00 
2020-01-04 21:00:00,0.00 
2020-01-04 21:15:00,0.00 
2020-01-04 21:30:00,0.00 
2020-01-04 21:45:00,0.00 
2020-01-04 22:00:00,0.00 
2020-01-04 22:15:00,0.00 
2020-01-04 22:30:00,0.00 
2020-01-04 22:45:00,0.00 
2020-01-04 23:00:00,0.00 
2020-01-04 23:15:00,0.00 
2020-01-04 23:30:00,0.00 
2020-01-04 23:45:00,0.00 
2020-01-05 00:00:00,0.00 
2020-01-05 00:15:00,0.00 
2020-01-05 00:30:00,0.00 
2020-01-05 00:45:00,0.00 
2020-01-05 01:00:00,0.00 
2020-01-05 01:15:00,0.00 
2020-01-05 01:30:00,0.00 
2020-01-05 01:45:00,0.00 
2020-01-05 02:00:00,0.00 
2020-01-05 02:15:00,0.00 
2020-01-05 02:30:00,0.00 
2020-01-05 02:45:00,0.00 
2020-01-05 03:00:00,0.00 
2020-01-05 03:15:00,0.00 
2020-01-05 03:30:00,0.00 
2020-01-05 03:45:00,0.00 
2020-01-05 04:00:00,0.00 
2020-01-05 04:15:00,0.00 
2020-01-05 04:30:00,0.00 
2020-01-05 04:45:00,0.00 
2020-01-05 05:00:00,0.00 
2020-01-05 05:15:00,0.00 
2020-01-05 05:30:00,0.00 
2020-01-05 05:45:00,0.00 
2020-01-05 06:00:00,0.00 
2020-01-05 06:15:00,0.00 
2020-01-05 06:30:00,0.00 
2020-01-05 06:45:00,0.00 
2020-01-05 07:00:00,0.00 
2020-01-05 07:15:00,0.00 
2020-01-05 07:30:00,0.00 
2020-01-05 07:45:00,0.00 
2020-01-05 08:00:00,0.00 
2020-01-05 08:15:00,0.00 
2020-01-05 08:30:00,0.00 
2020-01-05 08:45:00,0.00 
2020-01-05 09:00:00,0.00 
2020-01-05 09:15:00,0.00 
2020-01-05 09:30:00,0.00 
2020-01-05 09:45:00,0.00 
2020-01-05 10:00:00,0.00 
2020-01-05 10:15:00,0.00 
2020-01-05 10:30:00,0.00 
2020-01-05 10:45:00,0.00 
2020-01-05 11:00:00,0.00 
2020-01-05 11:15:00,0.00 
2020-01-05 11:30:00,0.00 
2020-01-05 11:45:00,0.00 
2020-01-05 12:00:00,0.00 
2020-01-05 12:15:00,0.00 
2020-01-05 12:30:00,0.10 
2020-01-05 12:45:00,0.03 
2020-01-05 13:00:00,0.38 
2020-01-05 13:15:00,3.23 
2020-01-05 13:30:00,7.51 
2020-01-05 13:45:00,9.06 
2020-01-05 14:00:00,11.17 
2020-01-05 14:15:00,14.19 
2020-01-05 14:30:00,13.85 
2020-01-05 14:45:00,14.24 
2020-01-05 15:00:00,15.30 
2020-01-05 15:15:00,19.08 
2020-01-05 15:30:00,23.51 
2020-01-05 15:45:00,29.39 
2020-01-05 16:00:00,37.26 
2020-01-05 16:15:00,47.74 
2020-01-05 16:30:00,51.44 
2020-01-05 16:45:00,52.57 
2020-01-05 17:00:00,51.51 
2020-01-05 17:15:00,55.47 
2020-01-05 17:30:00,59.78 
2020-01-05 17:45:00,56.91 
2020-01-05 18:00:00,56.56 
2020-01-05 18:15:00,57.53 
2020-01-05 18:30:00,50.07 
2020-01-05 18:45:00,46.51 
2020-01-05 19:00:00,49.68 
2020-01-05 19:15:00,51.79 
2020-01-05 19:30:00,45.09 
2020-01-05 19:45:00,39.10 
2020-01-05 20:00:00,36.85 
2020-01-05 20:15:00,41.51 
2020-01-05 20:30:00,43.88 
2020-01-05 20:45:00,45.57 
2020-01-05 21:00:00,47.92 
2020-01-05 21:15:00,55.30 
2020-01-05 21:30:00,74.58 
2020-01-05 21:45:00,94.00 
2020-01-05 22:00:00,125.26 
2020-01-05 22:15:00,143.44 
2020-01-05 22:30:00,151.70 
2020-01-05 22:45:00,151.87 
2020-01-05 23:00:00,148.08 
2020-01-05 23:15:00,150.30 
2020-01-05 23:30:00,158.44 
2020-01-05 23:45:00,165.22 
2020-01-06 00:00:00,161.82 
2020-01-06 00:15:00,154.57 
2020-01-06 00:30:00,160.05 
2020-01-06 00:45:00,165.47 
2020-01-06 01:00:00,165.84 
2020-01-06 01:15:00,158.50 
2020-01-06 01:30:00,164.71 
2020-01-06 01:45:00,158.84 
2020-01-06 02:00:00,156.89 
2020-01-06 02:15:00,159.22 
2020-01-06 02:30:00,164.38 
2020-01-06 02:45:00,162.95 
2020-01-06 03:00:00,156.92 
2020-01-06 03:15:00,153.79 
2020-01-06 03:30:00,150.80 
2020-01-06 03:45:00,147.89 
2020-01-06 04:00:00,147.48 
2020-01-06 04:15:00,140.82 
2020-01-06 04:30:00,142.25 
2020-01-06 04:45:00,147.33 
2020-01-06 05:00:00,140.44 
2020-01-06 05:15:00,137.29 
2020-01-06 05:30:00,128.81 
2020-01-06 05:45:00,131.92 
2020-01-06 06:00:00,138.78 
2020-01-06 06:15:00,151.87 
2020-01-06 06:30:00,158.16 
2020-01-06 06:45:00,160.39 
2020-01-06 07:00:00,158.22 
2020-01-06 07:15:00,160.44 
2020-01-06 07:30:00,163.78 
2020-01-06 07:45:00,170.35 
2020-01-06 08:00:00,167.41 
2020-01-06 08:15:00,165.43 
2020-01-06 08:30:00,164.42 
2020-01-06 08:45:00,170.05 
2020-01-06 09:00:00,176.69 
2020-01-06 09:15:00,180.04 
2020-01-06 09:30:00,175.95 
2020-01-06 09:45:00,169.06 
2020-01-06 10:00:00,168.26 
2020-01-06 10:15:00,160.82 
2020-01-06 10:30:00,152.12 
2020-01-06 10:45:00,158.72 
2020-01-06 11:00:00,165.56 
2020-01-06 11:15:00,165.88 
2020-01-06 11:30:00,173.00 
2020-01-06 11:45:00,169.67 
2020-01-06 12:00:00,157.21 
2020-01-06 12:15:00,150.26 
2020-01-06 12:30:00,146.23 
2020-01-06 12:45:00,137.74 
2020-01-06 13:00:00,141.77 
2020-01-06 13:15:00,142.04 
2020-01-06 13:30:00,138.24 
2020-01-06 13:45:00,137.85 
2020-01-06 14:00:00,137.73 
2020-01-06 14:15:00,137.90 
2020-01-06 14:30:00,138.27 
2020-01-06 14:45:00,138.44 
2020-01-06 15:00:00,140.24 
2020-01-06 15:15:00,139.32 
2020-01-06 15:30:00,140.75 
2020-01-06 15:45:00,140.72 
2020-01-06 16:00:00,140.11 
2020-01-06 16:15:00,143.01 
2020-01-06 16:30:00,149.44 
2020-01-06 16:45:00,158.47 
2020-01-06 17:00:00,159.65 
2020-01-06 17:15:00,156.61 
2020-01-06 17:30:00,152.30 
2020-01-06 17:45:00,149.37 
2020-01-06 18:00:00,152.15 
2020-01-06 18:15:00,153.61 
2020-01-06 18:30:00,157.64 
2020-01-06 18:45:00,167.04 
2020-01-06 19:00:00,166.09 
2020-01-06 19:15:00,167.24 
2020-01-06 19:30:00,167.49 
2020-01-06 19:45:00,169.35 
2020-01-06 20:00:00,169.61 
2020-01-06 20:15:00,170.01 
2020-01-06 20:30:00,169.79 
2020-01-06 20:45:00,169.63 
2020-01-06 21:00:00,169.61 
2020-01-06 21:15:00,168.05 
2020-01-06 21:30:00,179.34 
2020-01-06 21:45:00,167.62 
2020-01-06 22:00:00,168.13 
2020-01-06 22:15:00,168.48 
2020-01-06 22:30:00,167.86 
2020-01-06 22:45:00,157.06 
2020-01-06 23:00:00,153.87 
2020-01-06 23:15:00,145.83 
2020-01-06 23:30:00,144.13 
2020-01-06 23:45:00,145.58 
2020-01-07 00:00:00,152.64 
2020-01-07 00:15:00,158.01 
2020-01-07 00:30:00,160.81 
2020-01-07 00:45:00,161.18 
2020-01-07 01:00:00,161.30 
2020-01-07 01:15:00,157.09 
2020-01-07 01:30:00,155.49 
2020-01-07 01:45:00,148.51 
2020-01-07 02:00:00,136.27 
2020-01-07 02:15:00,132.62 
2020-01-07 02:30:00,138.79 
2020-01-07 02:45:00,139.66 
2020-01-07 03:00:00,152.46 
2020-01-07 03:15:00,154.82 
2020-01-07 03:30:00,149.70 
2020-01-07 03:45:00,140.03 
2020-01-07 04:00:00,125.22 
2020-01-07 04:15:00,101.56 
2020-01-07 04:30:00,84.02 
2020-01-07 04:45:00,67.98 
2020-01-07 05:00:00,55.90 
2020-01-07 05:15:00,45.52 
2020-01-07 05:30:00,40.78 
2020-01-07 05:45:00,42.04 
2020-01-07 06:00:00,44.11 
2020-01-07 06:15:00,39.57 
2020-01-07 06:30:00,31.79 
2020-01-07 06:45:00,25.78 
2020-01-07 07:00:00,22.56 
2020-01-07 07:15:00,16.17 
2020-01-07 07:30:00,12.87 
2020-01-07 07:45:00,12.82 
2020-01-07 08:00:00,12.72 
2020-01-07 08:15:00,8.22 
2020-01-07 08:30:00,5.04 
2020-01-07 08:45:00,3.11 
2020-01-07 09:00:00,3.94 
2020-01-07 09:15:00,5.96 
2020-01-07 09:30:00,5.83 
2020-01-07 09:45:00,4.61 
2020-01-07 10:00:00,4.51 
2020-01-07 10:15:00,2.79 
2020-01-07 10:30:00,0.62 
2020-01-07 10:45:00,0.09 
2020-01-07 11:00:00,0.01 
2020-01-07 11:15:00,0.48 
2020-01-07 11:30:00,1.21 
2020-01-07 11:45:00,2.65 
2020-01-07 12:00:00,3.62 
2020-01-07 12:15:00,4.61 
2020-01-07 12:30:00,5.47 
2020-01-07 12:45:00,5.22 
2020-01-07 13:00:00,4.57 
2020-01-07 13:15:00,3.31 
2020-01-07 13:30:00,2.71 
2020-01-07 13:45:00,2.36 
2020-01-07 14:00:00,1.06 
2020-01-07 14:15:00,0.11 
2020-01-07 14:30:00,0.00 
2020-01-07 14:45:00,0.00 
2020-01-07 15:00:00,0.00 
2020-01-07 15:15:00,0.00 
2020-01-07 15:30:00,0.00 
2020-01-07 15:45:00,0.09 
2020-01-07 16:00:00,0.96 
2020-01-07 16:15:00,1.91 
2020-01-07 16:30:00,1.64 
2020-01-07 16:45:00,0.92 
2020-01-07 17:00:00,1.97 
2020-01-07 17:15:00,3.40 
2020-01-07 17:30:00,4.60 
2020-01-07 17:45:00,3.44 
2020-01-07 18:00:00,3.27 
2020-01-07 18:15:00,2.90 
2020-01-07 18:30:00,2.95 
2020-01-07 18:45:00,2.93 
2020-01-07 19:00:00,2.52 
2020-01-07 19:15:00,1.44 
2020-01-07 19:30:00,0.24 
2020-01-07 19:45:00,0.01 
2020-01-07 20:00:00,0.51 
2020-01-07 20:15:00,0.99 
2020-01-07 20:30:00,1.14 
2020-01-07 20:45:00,0.78 
2020-01-07 21:00:00,0.23 
2020-01-07 21:15:00,0.00 
2020-01-07 21:30:00,0.00 
2020-01-07 21:45:00,0.00 
2020-01-07 22:00:00,0.00 
2020-01-07 22:15:00,0.00 
2020-01-07 22:30:00,0.00 
2020-01-07 22:45:00,0.00 
2020-01-07 23:00:00,0.00 
2020-01-07 23:15:00,0.00 
2020-01-07 23:30:00,0.00 
2020-01-07 23:45:00,0.07 
2020-01-08 00:00:00,1.17 
2020-01-08 00:15:00,0.90 
2020-01-08 00:30:00,0.35 
2020-01-08 00:45:00,0.52 
2020-01-08 01:00:00,1.38 
2020-01-08 01:15:00,2.36 
2020-01-08 01:30:00,2.98 
2020-01-08 01:45:00,2.90 
2020-01-08 02:00:00,4.45 
2020-01-08 02:15:00,4.24 
2020-01-08 02:30:00,3.12 
2020-01-08 02:45:00,0.55 
2020-01-08 03:00:00,0.02 
2020-01-08 03:15:00,0.15 
2020-01-08 03:30:00,0.00 
2020-01-08 03:45:00,0.00 
2020-01-08 04:00:00,0.00 
2020-01-08 04:15:00,0.00 
2020-01-08 04:30:00,0.00 
2020-01-08 04:45:00,0.00 
2020-01-08 05:00:00,0.00 
2020-01-08 05:15:00,0.00 
2020-01-08 05:30:00,0.00 
2020-01-08 05:45:00,0.00 
2020-01-08 06:00:00,0.00 
2020-01-08 06:15:00,0.00 
2020-01-08 06:30:00,0.00 
2020-01-08 06:45:00,0.00 
2020-01-08 07:00:00,0.00 
2020-01-08 07:15:00,0.00 
2020-01-08 07:30:00,0.00 
2020-01-08 07:45:00,0.00 
2020-01-08 08:00:00,0.00 
2020-01-08 08:15:00,0.00 
2020-01-08 08:30:00,0.00 
2020-01-08 08:45:00,0.00 
2020-01-08 09:00:00,0.00 
2020-01-08 09:15:00,0.00 
2020-01-08 09:30:00,0.00 
2020-01-08 09:45:00,0.00 
2020-01-08 10:00:00,0.00 
2020-01-08 10:15:00,0.00 
2020-01-08 10:30:00,0.00 
2020-01-08 10:45:00,0.00 
2020-01-08 11:00:00,0.00 
2020-01-08 11:15:00,0.00 
2020-01-08 11:30:00,0.00 
2020-01-08 11:45:00,0.00 
2020-01-08 12:00:00,0.00 
2020-01-08 12:15:00,0.00 
2020-01-08 12:30:00,0.00 
2020-01-08 12:45:00,0.00 
2020-01-08 13:00:00,0.00 
2020-01-08 13:15:00,0.00 
2020-01-08 13:30:00,0.00 
2020-01-08 13:45:00,0.00 
2020-01-08 14:00:00,0.00 
2020-01-08 14:15:00,0.00 
2020-01-08 14:30:00,0.00 
2020-01-08 14:45:00,0.00 
2020-01-08 15:00:00,0.00 
2020-01-08 15:15:00,0.00 
2020-01-08 15:30:00,0.00 
2020-01-08 15:45:00,1.11 
2020-01-08 16:00:00,4.78 
2020-01-08 16:15:00,16.35 
2020-01-08 16:30:00,28.55 
2020-01-08 16:45:00,40.32 
2020-01-08 17:00:00,39.65 
2020-01-08 17:15:00,27.86 
2020-01-08 17:30:00,22.29 
2020-01-08 17:45:00,19.89 
2020-01-08 18:00:00,18.18 
2020-01-08 18:15:00,21.68 
2020-01-08 18:30:00,22.71 
2020-01-08 18:45:00,21.15 
2020-01-08 19:00:00,15.87 
2020-01-08 19:15:00,8.69 
2020-01-08 19:30:00,3.32 
2020-01-08 19:45:00,0.47 
2020-01-08 20:00:00,0.02 
2020-01-08 20:15:00,0.00 
2020-01-08 20:30:00,0.00 
2020-01-08 20:45:00,0.00 
2020-01-08 21:00:00,0.00 
2020-01-08 21:15:00,0.00 
2020-01-08 21:30:00,0.01 
2020-01-08 21:45:00,0.52 
2020-01-08 22:00:00,0.35 
2020-01-08 22:15:00,0.00 
2020-01-08 22:30:00,0.00 
2020-01-08 22:45:00,0.00 
2020-01-08 23:00:00,0.00 
2020-01-08 23:15:00,0.00 
2020-01-08 23:30:00,0.00 
2020-01-08 23:45:00,0.00 
2020-01-09 00:00:00,0.00 
2020-01-09 00:15:00,0.00 
2020-01-09 00:30:00,0.00 
2020-01-09 00:45:00,0.00 
2020-01-09 01:00:00,0.00 
2020-01-09 01:15:00,0.00 
